time,x-acceleration,y-acceleration,z-acceleration,,
0,-0.854,0.431,0.571,,0.571
0.02,-0.862,0.435,0.576,,"0.571,0.576"
0.04,-0.86,0.436,0.575,,"0.571,0.576,0.575"
0.06,-0.859,0.435,0.574,,"0.571,0.576,0.575,0.574"
0.08,-0.86,0.435,0.575,,"0.571,0.576,0.575,0.574,0.575"
0.1,-0.859,0.435,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574"
0.12,-0.86,0.435,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575"
0.14,-0.859,0.435,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575"
0.16,-0.86,0.434,0.573,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573"
0.18,-0.86,0.435,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575"
0.2,-0.859,0.436,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575"
0.22,-0.86,0.435,0.576,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576"
0.24,-0.861,0.434,0.576,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576"
0.26,-0.859,0.433,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574"
0.28,-0.859,0.434,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574"
0.3,-0.86,0.435,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575"
0.32,-0.859,0.435,0.576,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576"
0.34,-0.859,0.434,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575"
0.36,-0.86,0.434,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574"
0.38,-0.859,0.433,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575"
0.4,-0.861,0.434,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575,0.575"
0.42,-0.86,0.435,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575,0.575,0.574"
0.44,-0.86,0.434,0.575,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575,0.575,0.574,0.575"
0.46,-0.86,0.434,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575,0.575,0.574,0.575,0.574"
0.48,-0.859,0.435,0.574,,"0.571,0.576,0.575,0.574,0.575,0.574,0.575,0.575,0.573,0.575,0.575,0.576,0.576,0.574,0.574,0.575,0.576,0.575,0.574,0.575,0.575,0.574,0.575,0.574,0.574"
