[Sun Aug 07 06:35:27.026873 2016] [mpm_prefork:notice] [pid 27282] AH00163: Apache/2.4.7 (Ubuntu) configured -- resuming normal operations
[Sun Aug 07 06:35:27.026892 2016] [core:notice] [pid 27282] AH00094: Command line: '/usr/sbin/apache2'
[Tue Aug 09 17:14:31.203326 2016] [:error] [pid 1716] [client 201.173.82.19:53382] script '/var/www/html/command.php' not found or unable to stat
[Tue Aug 09 18:05:34.514967 2016] [:error] [pid 1713] [client 71.119.185.97:62273] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 18:05:34.750670 2016] [:error] [pid 1713] [client 71.119.185.97:62273] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 18:05:34.750694 2016] [:error] [pid 1713] [client 71.119.185.97:62273] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 18:05:34.750698 2016] [:error] [pid 1713] [client 71.119.185.97:62273] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 18:11:04.952118 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 18:11:04.988420 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 18:11:04.988442 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 18:11:04.988446 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 18:11:08.167244 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 18:11:08.179100 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 18:11:08.179113 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 18:11:08.179117 2016] [:error] [pid 1715] [client 71.119.185.97:62412] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:24:39.792858 2016] [:error] [pid 14996] [client 71.119.185.97:52763] script '/var/www/html/json.php' not found or unable to stat
[Tue Aug 09 23:24:43.610135 2016] [:error] [pid 14996] [client 71.119.185.97:52763] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:24:43.681012 2016] [:error] [pid 14996] [client 71.119.185.97:52763] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:24:43.681032 2016] [:error] [pid 14996] [client 71.119.185.97:52763] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:24:43.681036 2016] [:error] [pid 14996] [client 71.119.185.97:52763] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:24:43.691267 2016] [:error] [pid 7488] [client 71.119.185.97:52764] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:24:43.703448 2016] [:error] [pid 7488] [client 71.119.185.97:52764] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:24:43.703459 2016] [:error] [pid 7488] [client 71.119.185.97:52764] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:24:43.703472 2016] [:error] [pid 7488] [client 71.119.185.97:52764] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:26:21.916141 2016] [:error] [pid 1712] [client 71.119.185.97:52781] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:26:21.928249 2016] [:error] [pid 1712] [client 71.119.185.97:52781] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:26:21.928260 2016] [:error] [pid 1712] [client 71.119.185.97:52781] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:26:21.928263 2016] [:error] [pid 1712] [client 71.119.185.97:52781] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:28:29.433255 2016] [:error] [pid 1714] [client 71.119.185.97:52881] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:28:29.445093 2016] [:error] [pid 1714] [client 71.119.185.97:52881] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:28:29.445107 2016] [:error] [pid 1714] [client 71.119.185.97:52881] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:28:29.445111 2016] [:error] [pid 1714] [client 71.119.185.97:52881] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:31:08.338071 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:31:08.350461 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:31:08.350472 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:31:08.350476 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:31:10.126562 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:31:10.139224 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:31:10.139236 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:31:10.139239 2016] [:error] [pid 1715] [client 71.119.185.97:52977] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:33:36.080431 2016] [:error] [pid 1716] [client 71.119.185.97:53055] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:33:36.093135 2016] [:error] [pid 1716] [client 71.119.185.97:53055] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:33:36.093146 2016] [:error] [pid 1716] [client 71.119.185.97:53055] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:33:36.093158 2016] [:error] [pid 1716] [client 71.119.185.97:53055] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:35:13.549738 2016] [:error] [pid 3991] [client 71.119.185.97:53078] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:35:13.562176 2016] [:error] [pid 3991] [client 71.119.185.97:53078] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:35:13.562193 2016] [:error] [pid 3991] [client 71.119.185.97:53078] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:35:13.562197 2016] [:error] [pid 3991] [client 71.119.185.97:53078] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Tue Aug 09 23:35:13.562202 2016] [:error] [pid 3991] [client 71.119.185.97:53078] PHP Notice:  Array to string conversion in /var/www/html/query/json.php on line 53
[Tue Aug 09 23:35:28.115283 2016] [:error] [pid 1713] [client 71.119.185.97:53086] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Tue Aug 09 23:35:28.126998 2016] [:error] [pid 1713] [client 71.119.185.97:53086] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 35
[Tue Aug 09 23:35:28.127009 2016] [:error] [pid 1713] [client 71.119.185.97:53086] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 36
[Tue Aug 09 23:35:28.127012 2016] [:error] [pid 1713] [client 71.119.185.97:53086] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 37
[Wed Aug 10 15:47:24.123611 2016] [:error] [pid 3991] [client 71.119.185.97:52102] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 15:47:24.230671 2016] [:error] [pid 3991] [client 71.119.185.97:52102] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 36
[Wed Aug 10 15:47:24.230696 2016] [:error] [pid 3991] [client 71.119.185.97:52102] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 37
[Wed Aug 10 15:47:24.230700 2016] [:error] [pid 3991] [client 71.119.185.97:52102] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 38
[Wed Aug 10 15:48:25.463417 2016] [:error] [pid 1712] [client 71.119.185.97:52124] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 15:48:25.480227 2016] [:error] [pid 1712] [client 71.119.185.97:52124] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 36
[Wed Aug 10 15:48:25.480237 2016] [:error] [pid 1712] [client 71.119.185.97:52124] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 37
[Wed Aug 10 15:48:25.480240 2016] [:error] [pid 1712] [client 71.119.185.97:52124] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 38
[Wed Aug 10 15:48:58.918656 2016] [:error] [pid 1716] [client 71.119.185.97:52129] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 15:48:58.933269 2016] [:error] [pid 1716] [client 71.119.185.97:52129] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 36
[Wed Aug 10 15:48:58.933280 2016] [:error] [pid 1716] [client 71.119.185.97:52129] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 37
[Wed Aug 10 15:48:58.933304 2016] [:error] [pid 1716] [client 71.119.185.97:52129] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 38
[Wed Aug 10 15:51:21.741553 2016] [:error] [pid 14996] [client 71.119.185.97:52157] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 15:51:21.756700 2016] [:error] [pid 14996] [client 71.119.185.97:52157] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 36
[Wed Aug 10 15:51:21.756721 2016] [:error] [pid 14996] [client 71.119.185.97:52157] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 37
[Wed Aug 10 15:51:21.756724 2016] [:error] [pid 14996] [client 71.119.185.97:52157] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 38
[Wed Aug 10 16:21:18.399298 2016] [:error] [pid 1714] [client 71.119.185.97:53263] PHP Warning:  PDO::query() expects parameter 1 to be string, object given in /var/www/html/registration.php on line 28, referer: http://ec2-52-204-229-101.compute-1.amazonaws.com/registration.php
[Wed Aug 10 16:40:06.140619 2016] [:error] [pid 1714] [client 71.119.185.97:53777] PHP Warning:  PDO::query() expects parameter 1 to be string, object given in /var/www/html/login.php on line 26, referer: http://ec2-52-204-229-101.compute-1.amazonaws.com/login.php
[Wed Aug 10 16:56:08.637099 2016] [:error] [pid 1714] [client 71.119.185.97:54211] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 16:56:08.640458 2016] [:error] [pid 1714] [client 71.119.185.97:54211] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 43
[Wed Aug 10 16:56:08.640480 2016] [:error] [pid 1714] [client 71.119.185.97:54211] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 44
[Wed Aug 10 16:56:08.640487 2016] [:error] [pid 1714] [client 71.119.185.97:54211] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 45
[Wed Aug 10 16:58:47.929467 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 16:58:47.932360 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 43
[Wed Aug 10 16:58:47.932371 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 44
[Wed Aug 10 16:58:47.932375 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 45
[Wed Aug 10 16:58:49.199987 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 16:58:49.202539 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 43
[Wed Aug 10 16:58:49.202549 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 44
[Wed Aug 10 16:58:49.202553 2016] [:error] [pid 7488] [client 71.119.185.97:54273] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 45
[Wed Aug 10 17:49:11.952599 2016] [:error] [pid 1713] [client 71.119.185.97:55517] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:49:11.968421 2016] [:error] [pid 1713] [client 71.119.185.97:55517] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 37
[Wed Aug 10 17:49:11.968444 2016] [:error] [pid 1713] [client 71.119.185.97:55517] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 38
[Wed Aug 10 17:49:11.968448 2016] [:error] [pid 1713] [client 71.119.185.97:55517] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 39
[Wed Aug 10 17:49:33.662445 2016] [:error] [pid 1712] [client 71.119.185.97:55519] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:49:33.676797 2016] [:error] [pid 1712] [client 71.119.185.97:55519] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 37
[Wed Aug 10 17:49:33.676807 2016] [:error] [pid 1712] [client 71.119.185.97:55519] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 38
[Wed Aug 10 17:49:33.676810 2016] [:error] [pid 1712] [client 71.119.185.97:55519] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 39
[Wed Aug 10 17:50:19.591127 2016] [:error] [pid 1714] [client 71.119.185.97:55529] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:50:19.601845 2016] [:error] [pid 1714] [client 71.119.185.97:55529] PHP Notice:  Undefined offset: 0 in /var/www/html/query/json.php on line 28
[Wed Aug 10 17:50:19.603482 2016] [:error] [pid 1714] [client 71.119.185.97:55529] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 39
[Wed Aug 10 17:50:19.603492 2016] [:error] [pid 1714] [client 71.119.185.97:55529] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 40
[Wed Aug 10 17:50:19.603495 2016] [:error] [pid 1714] [client 71.119.185.97:55529] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 41
[Wed Aug 10 17:50:33.363499 2016] [:error] [pid 1715] [client 71.119.185.97:55531] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:50:33.377595 2016] [:error] [pid 1715] [client 71.119.185.97:55531] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 39
[Wed Aug 10 17:50:33.377619 2016] [:error] [pid 1715] [client 71.119.185.97:55531] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 40
[Wed Aug 10 17:50:33.377626 2016] [:error] [pid 1715] [client 71.119.185.97:55531] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 41
[Wed Aug 10 17:52:07.670702 2016] [:error] [pid 1716] [client 71.119.185.97:55557] PHP Parse error:  syntax error, unexpected ';', expecting ',' or ')' in /var/www/html/query/json.php on line 28
[Wed Aug 10 17:52:20.450974 2016] [:error] [pid 7488] [client 71.119.185.97:55558] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:52:20.460763 2016] [:error] [pid 7488] [client 71.119.185.97:55558] PHP Warning:  preg_replace(): No ending matching delimiter '}' found in /var/www/html/query/json.php on line 28
[Wed Aug 10 17:52:20.462251 2016] [:error] [pid 7488] [client 71.119.185.97:55558] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 40
[Wed Aug 10 17:52:20.462260 2016] [:error] [pid 7488] [client 71.119.185.97:55558] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 41
[Wed Aug 10 17:52:20.462274 2016] [:error] [pid 7488] [client 71.119.185.97:55558] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 42
[Wed Aug 10 17:53:31.207686 2016] [:error] [pid 3991] [client 71.119.185.97:55570] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:53:31.218005 2016] [:error] [pid 3991] [client 71.119.185.97:55570] PHP Warning:  preg_replace(): No ending matching delimiter '}' found in /var/www/html/query/json.php on line 29
[Wed Aug 10 17:53:31.219658 2016] [:error] [pid 3991] [client 71.119.185.97:55570] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 41
[Wed Aug 10 17:53:31.219666 2016] [:error] [pid 3991] [client 71.119.185.97:55570] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 42
[Wed Aug 10 17:53:31.219669 2016] [:error] [pid 3991] [client 71.119.185.97:55570] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 43
[Wed Aug 10 17:53:44.110442 2016] [:error] [pid 14996] [client 71.119.185.97:55571] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:53:44.123655 2016] [:error] [pid 14996] [client 71.119.185.97:55571] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 40
[Wed Aug 10 17:53:44.123667 2016] [:error] [pid 14996] [client 71.119.185.97:55571] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 41
[Wed Aug 10 17:53:44.123670 2016] [:error] [pid 14996] [client 71.119.185.97:55571] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 42
[Wed Aug 10 17:54:09.434166 2016] [:error] [pid 1713] [client 71.119.185.97:55590] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
